event_type,display_name_ko,display_name_en,category,is_conversion_event,description_ko
app_open,앱 열기,App Open,engagement,false,사용자가 앱을 실행한 이벤트. DAU/MAU 집계의 기본 단위.
app_close,앱 닫기,App Close,engagement,false,사용자가 앱을 종료한 이벤트. 세션 종료 추적에 활용.
screen_view,화면 조회,Screen View,navigation,false,화면 전환 이벤트. 내비게이션 패턴 및 UX 분석에 활용.
workout_start,운동 시작,Workout Start,core_feature,false,핵심 기능: 사용자가 운동 세션을 시작한 이벤트.
workout_complete,운동 완료,Workout Complete,core_feature,true,핵심 기능: 사용자가 운동 세션을 완료한 이벤트. 운동 완료율 분자.
goal_set,목표 설정,Goal Set,core_feature,false,사용자가 새 운동 목표를 설정한 이벤트.
goal_achieved,목표 달성,Goal Achieved,core_feature,true,사용자가 설정한 운동 목표를 달성한 이벤트. 성취감 지표.
social_share,소셜 공유,Social Share,viral,false,사용자가 운동 기록 등을 외부 SNS에 공유한 이벤트. 바이럴 계수 선행 지표.
purchase,구매,Purchase,monetization,true,사용자가 인앱 구매(구독/아이템)를 완료한 이벤트. 수익의 직접 소스.
push_notification_open,푸시 알림 오픈,Push Notification Open,engagement,false,사용자가 푸시 알림을 탭하여 앱을 실행한 이벤트. 알림 효과 측정에 활용.
